,Tid,Items
174,T942,"['item59', 'item70', 'item30', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item28', 'item11', 'item24', 'item25', 'item10', 'item13', 'item45']"
175,T808,"['item35', 'item14', 'item30', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item24', 'item25', 'item10', 'item13', 'item45']"
176,T468,"['item70', 'item30', 'item14', 'item35', 'item68', 'item12', 'item32', 'item27', 'item26', 'item34', 'item11', 'item36', 'item23', 'item28', 'item24', 'item10', 'item13', 'item45']"
177,T227,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
178,T482,"['item70', 'item30', 'item35', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item23', 'item24', 'item10', 'item13', 'item45']"
179,T956,"['item59', 'item30', 'item14', 'item12', 'item26', 'item36', 'item28', 'item23', 'item11', 'item24', 'item25', 'item13', 'item45']"
180,T548,"['item59', 'item70', 'item35', 'item30', 'item14', 'item68', 'item25', 'item12', 'item32', 'item34', 'item36', 'item11', 'item23', 'item28', 'item24', 'item10', 'item13', 'item45']"
181,T765,"['item70', 'item35', 'item32', 'item27', 'item26', 'item36', 'item28', 'item23', 'item25', 'item13', 'item45']"
182,T207,"['item59', 'item70', 'item14', 'item35', 'item30', 'item68', 'item12', 'item32', 'item27', 'item26', 'item36', 'item11', 'item23', 'item28', 'item24', 'item10', 'item13', 'item45']"
183,T325,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
184,T455,"['item70', 'item14', 'item35', 'item68', 'item12', 'item32', 'item26', 'item27', 'item34', 'item36', 'item28', 'item11', 'item23', 'item25', 'item10', 'item13', 'item45']"
185,T61,"['item14', 'item30', 'item12', 'item36', 'item28', 'item23', 'item11', 'item45']"
186,T696,"['item59', 'item70', 'item30', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item23', 'item28', 'item24', 'item25', 'item10', 'item13', 'item45']"
187,T464,"['item70', 'item35', 'item14', 'item30', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item36', 'item24', 'item25', 'item10', 'item13', 'item45']"
188,T149,"['item70', 'item14', 'item35', 'item30', 'item68', 'item32', 'item26', 'item27', 'item34', 'item36', 'item11', 'item23', 'item28', 'item24', 'item25', 'item45']"
189,T816,"['item68', 'item24', 'item10', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
190,T402,"['item59', 'item70', 'item14', 'item35', 'item68', 'item25', 'item12', 'item32', 'item11', 'item28', 'item23', 'item36', 'item10', 'item13', 'item45']"
191,T916,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item36', 'item11']"
192,T591,"['item59', 'item70', 'item14', 'item35', 'item68', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item24', 'item10', 'item45']"
193,T552,"['item30', 'item14', 'item68', 'item25', 'item32', 'item11', 'item23', 'item24', 'item10', 'item45']"
194,T80,"['item30', 'item34', 'item11', 'item36', 'item24', 'item10', 'item45']"
195,T131,"['item70', 'item68', 'item32', 'item27', 'item36', 'item28']"
196,T785,"['item59', 'item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item27', 'item26', 'item36', 'item11', 'item28', 'item24', 'item25', 'item10', 'item13', 'item45']"
197,T215,"['item59', 'item70', 'item30', 'item68', 'item12', 'item27', 'item34', 'item26', 'item36', 'item23', 'item24', 'item25', 'item10', 'item13', 'item45']"
198,T239,"['item59', 'item35', 'item68', 'item32', 'item36', 'item28', 'item24', 'item25', 'item13', 'item45']"
199,T14,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
200,T781,"['item70', 'item14', 'item35', 'item68', 'item12', 'item27', 'item26', 'item36', 'item28', 'item24', 'item10', 'item13']"
201,T289,"['item59', 'item70', 'item35', 'item14', 'item30', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item23', 'item10', 'item13', 'item45']"
202,T380,"['item70', 'item35', 'item34', 'item11', 'item36', 'item28', 'item23', 'item24', 'item25', 'item45']"
203,T264,"['item59', 'item70', 'item12', 'item32', 'item27', 'item34', 'item11', 'item36', 'item23', 'item28', 'item24', 'item25', 'item13']"
204,T230,"['item59', 'item70', 'item35', 'item68', 'item12', 'item32', 'item34', 'item36', 'item11', 'item23', 'item10', 'item13']"
205,T978,"['item59', 'item14', 'item68', 'item12', 'item32', 'item27', 'item34', 'item36', 'item28', 'item23', 'item24', 'item25', 'item10', 'item45']"
206,T255,"['item59', 'item30', 'item68', 'item32', 'item27', 'item36', 'item23', 'item24', 'item25', 'item13', 'item45']"
207,T168,"['item59', 'item70', 'item30', 'item25', 'item12', 'item32', 'item26', 'item11', 'item36', 'item23', 'item24', 'item10', 'item13']"
208,T95,"['item70', 'item32', 'item34', 'item36', 'item13']"
209,T374,"['item68', 'item12', 'item32', 'item27', 'item26', 'item36', 'item23', 'item24', 'item25', 'item13']"
210,T586,"['item59', 'item30', 'item35', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item28', 'item24', 'item13', 'item45']"
211,T921,"['item59', 'item70', 'item30', 'item12', 'item26', 'item34', 'item11', 'item36', 'item24', 'item10']"
212,T510,"['item59', 'item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item27', 'item26', 'item36', 'item11', 'item23', 'item24', 'item13', 'item45']"
213,T572,"['item70', 'item30', 'item14', 'item12', 'item32', 'item27', 'item26', 'item36', 'item28', 'item25', 'item45']"
214,T244,"['item59', 'item30', 'item14', 'item68', 'item25', 'item12', 'item32', 'item26', 'item36', 'item28', 'item11', 'item23', 'item24', 'item10', 'item13']"
215,T972,"['item70', 'item30', 'item35', 'item68', 'item25', 'item12', 'item32', 'item27', 'item26', 'item36', 'item28', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
216,T428,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item70', 'item12', 'item34', 'item36', 'item11']"
217,T361,"['item59', 'item70', 'item30', 'item12', 'item27', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item45']"
218,T616,"['item59', 'item30', 'item14', 'item32', 'item27', 'item26', 'item36', 'item23', 'item10', 'item45']"
219,T117,"['item30', 'item68', 'item36', 'item27']"
220,T560,"['item59', 'item70', 'item35', 'item14', 'item68', 'item25', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
221,T544,"['item70', 'item14', 'item35', 'item30', 'item68', 'item12', 'item26', 'item34', 'item27', 'item36', 'item11', 'item23', 'item28', 'item24', 'item10', 'item13', 'item45']"
222,T602,"['item70', 'item30', 'item35', 'item68', 'item12', 'item32', 'item26', 'item34', 'item36', 'item11', 'item13']"
223,T805,"['item59', 'item70', 'item30', 'item35', 'item12', 'item32', 'item27', 'item34', 'item36', 'item11', 'item28', 'item23', 'item24', 'item25', 'item13', 'item45']"
224,T181,"['item59', 'item70', 'item30', 'item35', 'item68', 'item12', 'item32', 'item26', 'item27', 'item36', 'item28', 'item23', 'item25', 'item10', 'item45']"
225,T310,"['item59', 'item70', 'item30', 'item14', 'item68', 'item25', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
226,T810,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36']"
227,T430,"['item59', 'item70', 'item14', 'item35', 'item30', 'item12', 'item32', 'item27', 'item34', 'item11', 'item36', 'item23', 'item28', 'item24', 'item25', 'item13', 'item45']"
228,T936,"['item59', 'item70', 'item14', 'item68', 'item25', 'item32', 'item27', 'item26', 'item36', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
229,T747,"['item59', 'item70', 'item14', 'item30', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
230,T480,"['item59', 'item35', 'item14', 'item68', 'item12', 'item26', 'item36', 'item11', 'item24', 'item25', 'item13', 'item45']"
231,T679,"['item59', 'item70', 'item14', 'item68', 'item12', 'item26', 'item34', 'item36', 'item28', 'item23', 'item24', 'item10', 'item13', 'item45']"
232,T712,"['item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item27', 'item26', 'item36', 'item28', 'item23', 'item11', 'item24', 'item13', 'item45']"
233,T34,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
234,T694,"['item70', 'item35', 'item30', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item28', 'item23', 'item24', 'item25', 'item13', 'item10']"
235,T362,"['item70', 'item35', 'item68', 'item32', 'item27', 'item34', 'item11', 'item36', 'item28', 'item23', 'item13', 'item45']"
236,T297,"['item70', 'item68', 'item12', 'item27', 'item11', 'item36', 'item23', 'item24', 'item25', 'item13', 'item10']"
237,T878,"['item59', 'item45', 'item35', 'item30', 'item68', 'item27', 'item34', 'item36', 'item11', 'item23', 'item28', 'item25', 'item13', 'item10']"
238,T995,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
239,T681,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
240,T664,"['item59', 'item70', 'item35', 'item30', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item23', 'item28', 'item25', 'item10']"
241,T175,"['item59', 'item70', 'item35', 'item30', 'item14', 'item68', 'item25', 'item32', 'item27', 'item36', 'item11', 'item28', 'item23', 'item10', 'item13', 'item45']"
242,T988,"['item70', 'item35', 'item14', 'item30', 'item68', 'item32', 'item26', 'item34', 'item11', 'item28', 'item45']"
243,T388,"['item59', 'item70', 'item35', 'item14', 'item68', 'item12', 'item27', 'item26', 'item34', 'item36', 'item28', 'item23', 'item24', 'item25', 'item10', 'item45']"
244,T267,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
245,T678,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11']"
246,T830,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11']"
247,T307,"['item59', 'item70', 'item14', 'item35', 'item30', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item23', 'item24', 'item10', 'item45']"
248,T974,"['item59', 'item35', 'item30', 'item12', 'item27', 'item34', 'item36', 'item11', 'item25', 'item13', 'item45']"
249,T355,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
250,T275,"['item59', 'item35', 'item30', 'item14', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item10', 'item13', 'item45']"
251,T62,"['item35', 'item30', 'item68', 'item12', 'item32', 'item27', 'item45']"
252,T607,"['item70', 'item35', 'item30', 'item14', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item11', 'item24', 'item10', 'item13', 'item45']"
253,T960,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36']"
254,T372,"['item59', 'item70', 'item35', 'item14', 'item30', 'item12', 'item27', 'item34', 'item36', 'item11', 'item23', 'item28', 'item25', 'item13']"
255,T675,"['item59', 'item70', 'item14', 'item35', 'item68', 'item12', 'item32', 'item26', 'item36', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
256,T105,"['item24', 'item36', 'item14', 'item35']"
257,T416,"['item35', 'item14', 'item68', 'item27', 'item26', 'item36', 'item28', 'item23', 'item24', 'item10', 'item13']"
258,T889,"['item59', 'item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item11', 'item23', 'item24', 'item13']"
259,T714,"['item59', 'item70', 'item30', 'item35', 'item68', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item24']"
260,T41,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
261,T52,"['item59', 'item70', 'item35', 'item32', 'item27', 'item34', 'item26', 'item11', 'item28', 'item23', 'item24', 'item10', 'item13']"
262,T809,"['item70', 'item35', 'item14', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item11', 'item28', 'item24', 'item25', 'item13', 'item45']"
263,T208,"['item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item27', 'item26', 'item10', 'item13']"
264,T437,"['item59', 'item70', 'item30', 'item35', 'item14', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item25', 'item13']"
265,T250,"['item14', 'item30', 'item35', 'item68', 'item25', 'item12', 'item32', 'item26', 'item36', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
266,T25,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
267,T788,"['item70', 'item35', 'item14', 'item68', 'item32', 'item26', 'item36', 'item28', 'item11', 'item10', 'item45']"
268,T947,"['item59', 'item45', 'item35', 'item30', 'item14', 'item68', 'item12', 'item32', 'item26', 'item27', 'item34', 'item11', 'item28', 'item36', 'item24', 'item25', 'item13', 'item10']"
269,T599,"['item35', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item11', 'item28', 'item36', 'item24', 'item10', 'item13', 'item45']"
270,T537,"['item59', 'item70', 'item14', 'item35', 'item30', 'item25', 'item12', 'item32', 'item27', 'item34', 'item26', 'item11', 'item28', 'item23', 'item36', 'item24', 'item10', 'item45']"
271,T409,"['item70', 'item30', 'item35', 'item14', 'item32', 'item27', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item25', 'item13', 'item10']"
272,T293,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item34', 'item36', 'item11']"
273,T76,"['item35', 'item12', 'item32', 'item27', 'item34', 'item36', 'item10', 'item13']"
274,T631,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
275,T930,"['item59', 'item70', 'item14', 'item35', 'item30', 'item68', 'item12', 'item32', 'item26', 'item27', 'item34', 'item11', 'item36', 'item23', 'item24', 'item25', 'item10', 'item45']"
276,T925,"['item59', 'item70', 'item14', 'item35', 'item30', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item10', 'item45']"
277,T499,"['item59', 'item70', 'item35', 'item30', 'item26', 'item27', 'item34', 'item11', 'item28', 'item36', 'item25', 'item10', 'item45']"
278,T650,"['item59', 'item70', 'item45', 'item14', 'item35', 'item30', 'item68', 'item12', 'item32', 'item26', 'item27', 'item34', 'item11', 'item36', 'item24', 'item25', 'item13', 'item10']"
279,T718,"['item59', 'item70', 'item35', 'item14', 'item30', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item24', 'item25', 'item13', 'item45']"
280,T146,"['item70', 'item30', 'item35', 'item14', 'item68', 'item25', 'item12', 'item32', 'item26', 'item11', 'item36', 'item23', 'item28', 'item24', 'item10', 'item13', 'item45']"
281,T116,"['item70', 'item30', 'item35', 'item34', 'item28', 'item24']"
282,T550,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36']"
283,T920,"['item59', 'item70', 'item35', 'item30', 'item14', 'item68', 'item25', 'item12', 'item26', 'item34', 'item27', 'item36', 'item23', 'item24', 'item10', 'item13', 'item45']"
284,T515,"['item59', 'item70', 'item14', 'item35', 'item30', 'item68', 'item25', 'item32', 'item27', 'item34', 'item28', 'item23', 'item24', 'item10', 'item13']"
285,T360,"['item59', 'item70', 'item14', 'item35', 'item68', 'item26', 'item34', 'item11', 'item28', 'item23', 'item36', 'item24', 'item25', 'item45']"
286,T957,"['item59', 'item14', 'item35', 'item12', 'item32', 'item36', 'item28', 'item23', 'item24', 'item25', 'item13', 'item10']"
287,T29,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
288,T170,"['item59', 'item14', 'item35', 'item68', 'item26', 'item34', 'item11', 'item36', 'item10', 'item45']"
289,T186,"['item70', 'item35', 'item14', 'item30', 'item68', 'item12', 'item26', 'item27', 'item34', 'item36', 'item11', 'item28', 'item45']"
290,T31,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
291,T260,"['item68', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
292,T43,"['item70', 'item14', 'item35', 'item30', 'item68', 'item32', 'item26', 'item27', 'item34', 'item36', 'item28', 'item11', 'item23', 'item10', 'item13', 'item45']"
293,T662,"['item59', 'item30', 'item14', 'item35', 'item68', 'item25', 'item26', 'item27', 'item34', 'item11', 'item23', 'item24', 'item10', 'item13', 'item45']"
294,T615,"['item59', 'item70', 'item35', 'item30', 'item14', 'item68', 'item12', 'item26', 'item27', 'item34', 'item11', 'item28', 'item36', 'item23', 'item24', 'item10', 'item13', 'item45']"
295,T188,"['item59', 'item35', 'item68', 'item12', 'item11', 'item28', 'item23', 'item36', 'item24', 'item10', 'item45']"
296,T126,"['item70', 'item35', 'item32', 'item36', 'item11', 'item25', 'item10']"
297,T868,"['item59', 'item70', 'item35', 'item12', 'item32', 'item26', 'item34', 'item28', 'item23', 'item24', 'item25', 'item13', 'item45']"
298,T546,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
299,T571,"['item59', 'item70', 'item45', 'item35', 'item30', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item11', 'item23', 'item25', 'item10']"
300,T622,"['item59', 'item30', 'item35', 'item68', 'item32', 'item34', 'item36', 'item28', 'item11', 'item24', 'item25']"
301,T191,"['item59', 'item14', 'item68', 'item32', 'item26', 'item34', 'item27', 'item28', 'item23', 'item45']"
302,T252,"['item68', 'item24', 'item10', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
303,T748,"['item70', 'item30', 'item14', 'item35', 'item68', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item23', 'item10', 'item45']"
304,T504,"['item59', 'item70', 'item35', 'item12', 'item34', 'item36', 'item11', 'item28', 'item24', 'item10', 'item13', 'item45']"
305,T798,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
306,T860,"['item35', 'item14', 'item30', 'item32', 'item26', 'item34', 'item27', 'item36', 'item23', 'item24', 'item25']"
307,T773,"['item59', 'item70', 'item45', 'item35', 'item14', 'item30', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item11', 'item23', 'item24', 'item25', 'item13', 'item10']"
308,T214,"['item59', 'item70', 'item14', 'item35', 'item25', 'item12', 'item26', 'item34', 'item36', 'item28', 'item11', 'item24', 'item10', 'item13']"
309,T288,"['item70', 'item35', 'item30', 'item68', 'item32', 'item26', 'item34', 'item11', 'item36', 'item23', 'item28', 'item24', 'item25', 'item45']"
310,T739,"['item59', 'item35', 'item14', 'item30', 'item68', 'item25', 'item32', 'item26', 'item34', 'item27', 'item36', 'item28', 'item23', 'item11', 'item10', 'item13']"
311,T111,"['item34', 'item23', 'item35']"
312,T156,"['item59', 'item14', 'item35', 'item68', 'item32', 'item34', 'item36', 'item23', 'item24', 'item10', 'item13', 'item45']"
313,T703,"['item70', 'item35', 'item14', 'item30', 'item25', 'item12', 'item32', 'item34', 'item11', 'item28', 'item24', 'item10', 'item13', 'item45']"
314,T384,"['item59', 'item70', 'item30', 'item14', 'item35', 'item68', 'item25', 'item12', 'item32', 'item26', 'item34', 'item27', 'item11', 'item28', 'item36', 'item23', 'item10', 'item13']"
315,T359,"['item59', 'item70', 'item35', 'item30', 'item68', 'item32', 'item27', 'item34', 'item11', 'item28', 'item23', 'item36', 'item10', 'item45']"
316,T761,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
317,T787,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
318,T658,"['item59', 'item14', 'item12', 'item32', 'item27', 'item34', 'item36', 'item28', 'item11', 'item45']"
319,T258,"['item70', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item34', 'item11', 'item28', 'item36', 'item23', 'item24', 'item25', 'item10']"
320,T819,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
321,T977,"['item59', 'item70', 'item30', 'item14', 'item35', 'item68', 'item12', 'item26', 'item34', 'item27', 'item36', 'item28', 'item11', 'item24', 'item25', 'item10', 'item45']"
322,T532,"['item59', 'item70', 'item14', 'item35', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item11', 'item23', 'item24', 'item25', 'item45']"
323,T296,"['item59', 'item70', 'item68', 'item12', 'item32', 'item26', 'item34', 'item27', 'item36', 'item28', 'item23', 'item24', 'item25', 'item13', 'item45']"
324,T169,"['item70', 'item30', 'item68', 'item12', 'item32', 'item26', 'item34', 'item11', 'item24', 'item25', 'item45']"
325,T980,"['item59', 'item70', 'item35', 'item26', 'item34', 'item27', 'item11', 'item28', 'item24', 'item25', 'item13']"
326,T233,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
327,T648,"['item59', 'item70', 'item30', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item25', 'item10', 'item13', 'item45']"
328,T858,"['item70', 'item68', 'item12', 'item32', 'item34', 'item36', 'item28', 'item24', 'item25', 'item13', 'item10']"
329,T569,"['item59', 'item68', 'item25', 'item12', 'item27', 'item34', 'item36', 'item28', 'item23', 'item11', 'item24', 'item10', 'item13']"
330,T944,"['item59', 'item35', 'item14', 'item30', 'item68', 'item27', 'item34', 'item26', 'item28', 'item23', 'item24', 'item25', 'item13', 'item10']"
331,T182,"['item59', 'item68', 'item32', 'item27', 'item34', 'item11', 'item36', 'item23', 'item28', 'item25', 'item13']"
332,T391,"['item59', 'item14', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item23', 'item24', 'item25', 'item10', 'item13', 'item45']"
333,T741,"['item45', 'item35', 'item30', 'item14', 'item68', 'item32', 'item26', 'item34', 'item27', 'item11', 'item36', 'item23', 'item25', 'item13', 'item10']"
334,T857,"['item59', 'item70', 'item30', 'item35', 'item12', 'item32', 'item27', 'item34', 'item26', 'item36', 'item28', 'item23', 'item24', 'item25', 'item13', 'item10']"
335,T209,"['item59', 'item70', 'item30', 'item12', 'item27', 'item34', 'item26', 'item28', 'item24', 'item25', 'item10', 'item13', 'item45']"
336,T623,"['item68', 'item24', 'item10', 'item59', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
337,T32,"['item68', 'item24', 'item10', 'item59', 'item30', 'item14', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item36', 'item11']"
338,T66,"['item59', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item36']"
339,T782,"['item59', 'item35', 'item14', 'item30', 'item68', 'item25', 'item12', 'item32', 'item27', 'item34', 'item36', 'item11', 'item24', 'item10']"
340,T630,"['item59', 'item30', 'item12', 'item32', 'item26', 'item34', 'item28', 'item23', 'item13', 'item45']"
341,T60,"['item14', 'item30', 'item68', 'item12', 'item27', 'item34', 'item10']"
342,T842,"['item59', 'item70', 'item14', 'item35', 'item30', 'item68', 'item12', 'item32', 'item27', 'item34', 'item26', 'item11', 'item28', 'item36', 'item24', 'item10', 'item13', 'item45']"
343,T951,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
344,T488,"['item59', 'item30', 'item35', 'item14', 'item68', 'item12', 'item32', 'item26', 'item34', 'item11', 'item36', 'item10', 'item13', 'item45']"
345,T682,"['item68', 'item24', 'item10', 'item59', 'item14', 'item30', 'item26', 'item28', 'item23', 'item25', 'item13', 'item35', 'item32', 'item27', 'item45', 'item70', 'item12', 'item34', 'item11', 'item36']"
